area_name,path,us_state,url,lnglat
Flying Buttress,Pictured Rocks|Flying Buttress,Iowa,https://www.mountainproject.com/area/106087972/flying-buttress,"[-91.10265, 42.2128]"
Gumby Wall,Pictured Rocks|Gumby Wall,Iowa,https://www.mountainproject.com/area/106088413/gumby-wall,"[-91.10303, 42.20777]"
Courageous Boulders,Pictured Rocks|Courageous Boulders,Iowa,https://www.mountainproject.com/area/120659532/courageous-boulders,"[-91.10859, 42.20433]"
Comic Gallery,Pictured Rocks|Comic Gallery,Iowa,https://www.mountainproject.com/area/106087597/comic-gallery,"[-91.10186, 42.21069]"
Collin's wall aka Parking lot wall,Pictured Rocks|Collin's wall aka Parking lot wall,Iowa,https://www.mountainproject.com/area/106086999/collins-wall-aka-parking-lot-wall,"[-91.1022, 42.20906]"
Chicago Wall,Pictured Rocks|Chicago Wall,Iowa,https://www.mountainproject.com/area/106087019/chicago-wall,"[-91.10475, 42.2068]"
Cam Boulder,Pictured Rocks|Cam Boulder,Iowa,https://www.mountainproject.com/area/114524966/cam-boulder,"[-91.10034, 42.21733]"
Windy Point,Pictured Rocks|Windy Point,Iowa,https://www.mountainproject.com/area/106087984/windy-point,"[-91.09831, 42.21813]"
Sistine Grapple,Palisades Kepler State Park|Sistine Grapple,Iowa,https://www.mountainproject.com/area/121199488/sistine-grapple,"[-91.509, 41.91194]"
Hoot Bluff,Ozark Wildlife Area|Hoot Bluff,Iowa,https://www.mountainproject.com/area/106271142/hoot-bluff,"[-90.8615, 42.1989]"
187 Crag,Ozark Wildlife Area|187 Crag,Iowa,https://www.mountainproject.com/area/109515219/187-crag,"[-90.8596, 42.19538]"
Raccoon Cove,Palisades Kepler State Park|Raccoon Cove,Iowa,https://www.mountainproject.com/area/106407543/raccoon-cove,"[-91.50749, 41.91363]"
Pequod,Palisades Kepler State Park|Pequod,Iowa,https://www.mountainproject.com/area/108973534/pequod,"[-91.50814, 41.91146]"
Party Cave,Palisades Kepler State Park|Party Cave,Iowa,https://www.mountainproject.com/area/106778631/party-cave,"[-91.5084, 41.9085]"
