area_name,path,us_state,url,lnglat
Mineral Creek Ice Climbs,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Mineral Creek Ice Climbs,Alaska,https://www.mountainproject.com/area/108616046/mineral-creek-ice-climbs,"[-146.35184, 61.15316]"
Keystone Canyon Tunnel Wall,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Keystone Canyon Tunnel Wall,Alaska,https://www.mountainproject.com/area/108623336/keystone-canyon-tunnel-wall,"[-145.89327, 61.08471]"
Keystone Canyon,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Keystone Canyon,Alaska,https://www.mountainproject.com/area/107079734/keystone-canyon,"[-145.89076, 61.12452]"
Hole In The Wall,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Hole In The Wall,Alaska,https://www.mountainproject.com/area/108939309/hole-in-the-wall,"[-145.91069, 61.04119]"
Two toke tower,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Mile High Wall|Two toke tower,Alaska,https://www.mountainproject.com/area/109775832/two-toke-tower,"[-149.18112, 61.83447]"
Main Wall,Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Mile High Wall|Main Wall,Alaska,https://www.mountainproject.com/area/117390726/main-wall,"[-149.18451, 61.84498]"
Heiden Canyon Zone,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Heiden Canyon Zone,Alaska,https://www.mountainproject.com/area/112802918/heiden-canyon-zone,"[-145.75291, 61.10686]"
"Shield, The","Anchorage & South Central Alaska|Hatcher Pass|Reed Lakes Bouldering and Climbing|Mile High Wall|Shield, The",Alaska,https://www.mountainproject.com/area/115134010/the-shield,"[-149.1812, 61.83445]"
Bear Creek,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|Bear Creek,Alaska,https://www.mountainproject.com/area/108027071/bear-creek,"[-145.8662, 61.1014]"
19 Mile Wall,Anchorage & South Central Alaska|Anchorage & South Central Alaska Ice|Valdez|19 Mile Wall,Alaska,https://www.mountainproject.com/area/108941763/19-mile-wall,"[-145.80301, 61.11532]"
