area_name,path,us_state,url,lnglat
"Turtle Rock, Big Boulder","Horse Pens 40|Turtle Rock, Big Boulder",Alabama,https://www.mountainproject.com/area/107372766/turtle-rock-big-boulder,"[-86.249, 33.9294]"
Turtle Rock Area/ Whiplash Boulders.,Horse Pens 40|Turtle Rock Area/ Whiplash Boulders.,Alabama,https://www.mountainproject.com/area/107387366/turtle-rock-area-whiplash-boulders,"[-86.30879, 33.92088]"
Turtle Rock Area/ Warning Signs Boulder,Horse Pens 40|Turtle Rock Area/ Warning Signs Boulder,Alabama,https://www.mountainproject.com/area/107378742/turtle-rock-area-warning-signs-boulder,"[-86.30892, 33.92107]"
Turtle Rock Area/ Turtle Boulder,Horse Pens 40|Turtle Rock Area/ Turtle Boulder,Alabama,https://www.mountainproject.com/area/107388349/turtle-rock-area-turtle-boulder,"[-86.30886, 33.92082]"
Turtle Rock Area/ Small Stage Boulder,Horse Pens 40|Turtle Rock Area/ Small Stage Boulder,Alabama,https://www.mountainproject.com/area/107372845/turtle-rock-area-small-stage-boulder,"[-86.249, 33.9294]"
Turtle Rock Area/ Slabolicious Block,Horse Pens 40|Turtle Rock Area/ Slabolicious Block,Alabama,https://www.mountainproject.com/area/107380424/turtle-rock-area-slabolicious-block,"[-86.249, 33.9294]"
Turtle Rock Area/ Panty Shields Boulder,Horse Pens 40|Turtle Rock Area/ Panty Shields Boulder,Alabama,https://www.mountainproject.com/area/107387221/turtle-rock-area-panty-shields-boulder,"[-86.30899, 33.92096]"
Turtle Rock Area/ Landslide Boulders,Horse Pens 40|Turtle Rock Area/ Landslide Boulders,Alabama,https://www.mountainproject.com/area/107387135/turtle-rock-area-landslide-boulders,"[-86.249, 33.9294]"
Turtle Rock Area/ Corridors Area,Horse Pens 40|Turtle Rock Area/ Corridors Area,Alabama,https://www.mountainproject.com/area/107373214/turtle-rock-area-corridors-area,"[-86.30873, 33.92104]"
Ten Pins Area,Horse Pens 40|Ten Pins Area,Alabama,https://www.mountainproject.com/area/107366669/ten-pins-area,"[-86.30755, 33.92116]"
Suspicion Boulders,Horse Pens 40|Suspicion Boulders,Alabama,https://www.mountainproject.com/area/107368492/suspicion-boulders,"[-86.249, 33.9294]"
Supa Coola Area/ Millipede Boulder,Horse Pens 40|Supa Coola Area/ Millipede Boulder,Alabama,https://www.mountainproject.com/area/107418508/supa-coola-area-millipede-boulder,"[-86.30898, 33.92053]"
Supa Coola Area,Horse Pens 40|Supa Coola Area,Alabama,https://www.mountainproject.com/area/107418665/supa-coola-area,"[-86.249, 33.9294]"
F) Old Fashioned,Hospital Boulders|Water Tower Area|F) Old Fashioned,Alabama,https://www.mountainproject.com/area/121726794/f-old-fashioned,"[-86.01908, 34.07583]"
E) Kill Taker,Hospital Boulders|Water Tower Area|E) Kill Taker,Alabama,https://www.mountainproject.com/area/121726774/e-kill-taker,"[-86.01924, 34.07591]"
D) Shadow Lands,Hospital Boulders|Water Tower Area|D) Shadow Lands,Alabama,https://www.mountainproject.com/area/121726763/d-shadow-lands,"[-86.0192, 34.07594]"
