area_name,path,us_state,url,lnglat
Warm-up Area,CT Bouldering|Will Warren's Den|Warm-up Area,Connecticut,https://www.mountainproject.com/area/113782097/warm-up-area,"[-72.83247, 41.69892]"
"Rock Canopy, The","CT Bouldering|Westwoods (Cockaponset State Forest)|Rock Canopy, The",Connecticut,https://www.mountainproject.com/area/111241782/the-rock-canopy,"[-72.72303, 41.28451]"
Wintergreen,CT Bouldering|West Rock State Park|Wintergreen,Connecticut,https://www.mountainproject.com/area/120173704/wintergreen,"[-72.97509, 41.36069]"
Toni Harp Bloc,CT Bouldering|West Rock State Park|Toni Harp Bloc,Connecticut,https://www.mountainproject.com/area/108807362/toni-harp-bloc,"[-72.95908, 41.33184]"
Woodpecker Boulder,CT Bouldering|Waterfall Basin Boulders|Woodpecker Boulder,Connecticut,https://www.mountainproject.com/area/118917280/woodpecker-boulder,"[-73.37281, 41.96103]"
Showcase Boulder,CT Bouldering|Waterfall Basin Boulders|Showcase Boulder,Connecticut,https://www.mountainproject.com/area/118918233/showcase-boulder,"[-73.37282, 41.96107]"
Eel Boulder,CT Bouldering|Waterfall Basin Boulders|Eel Boulder,Connecticut,https://www.mountainproject.com/area/118918107/eel-boulder,"[-73.37284, 41.96105]"
Old Fish House Road,CT Bouldering|Webb Mountain Park|Old Fish House Road,Connecticut,https://www.mountainproject.com/area/109256376/old-fish-house-road,"[-73.16205, 41.37602]"
Blue Trail Section,CT Bouldering|Webb Mountain Park|Blue Trail Section,Connecticut,https://www.mountainproject.com/area/109256393/blue-trail-section,"[-73.16467, 41.3751]"
Judges Cave,CT Bouldering|West Rock State Park|Judges Cave,Connecticut,https://www.mountainproject.com/area/106360302/judges-cave,"[-72.96672, 41.33844]"
Right Knee,CT Bouldering|Sleeping Giant|Right Knee,Connecticut,https://www.mountainproject.com/area/112400261/right-knee,"[-72.88149, 41.42947]"
Left Leg,CT Bouldering|Sleeping Giant|Left Leg,Connecticut,https://www.mountainproject.com/area/112348234/left-leg,"[-72.88585, 41.43265]"
Soapstone Mountain,CT Bouldering|Shenipsit State Forest|Soapstone Mountain,Connecticut,https://www.mountainproject.com/area/116198163/soapstone-mountain,"[-72.40985, 41.9598]"
Pancake boulder,CT Bouldering|Seven Falls Bouldering|Pancake boulder,Connecticut,https://www.mountainproject.com/area/106360368/pancake-boulder,"[-72.58339, 41.50898]"
La Tortuga,CT Bouldering|Seven Falls Bouldering|La Tortuga,Connecticut,https://www.mountainproject.com/area/106409059/la-tortuga,"[-72.57849, 41.50961]"
Cancer Cluster,CT Bouldering|Seven Falls Bouldering|Cancer Cluster,Connecticut,https://www.mountainproject.com/area/115437668/cancer-cluster,"[-72.57301, 41.50906]"
Big Boulder,CT Bouldering|Webb Mountain Park|Red Trail Section|Big Boulder,Connecticut,https://www.mountainproject.com/area/116848659/big-boulder,"[-73.16149, 41.37711]"
Fancy Schmancy,CT Bouldering|Sleeping Giant|Fancy Schmancy,Connecticut,https://www.mountainproject.com/area/114119252/fancy-schmancy,"[-72.89573, 41.42861]"
"Beach, The","CT Bouldering|Sleeping Giant|Beach, The",Connecticut,https://www.mountainproject.com/area/106360483/the-beach,"[-72.9027, 41.4236]"
Ampitheater,CT Bouldering|Sleeping Giant|Ampitheater,Connecticut,https://www.mountainproject.com/area/106360480/ampitheater,"[-72.90245, 41.42377]"
Top Of The Blue Trail,CT Bouldering|West Rock State Park|TJ's Bar and Grill|Top Of The Blue Trail,Connecticut,https://www.mountainproject.com/area/120046212/top-of-the-blue-trail,"[-72.94693, 41.40128]"
High Rock Jumble,CT Bouldering|West Rock State Park|TJ's Bar and Grill|High Rock Jumble,Connecticut,https://www.mountainproject.com/area/114383753/high-rock-jumble,"[-72.94175, 41.41143]"
Field Of Dreams Boulder,CT Bouldering|Stateline|Trapps Area|Field Of Dreams Boulder,Connecticut,https://www.mountainproject.com/area/107647346/field-of-dreams-boulder,"[-73.5134, 41.6816]"
Hermit Boulders,CT Bouldering|West Rock State Park|TJ's Bar and Grill|Hermit Boulders,Connecticut,https://www.mountainproject.com/area/114383728/hermit-boulders,"[-72.94424, 41.40807]"
Two Trees area,CT Bouldering|Seven Falls Bouldering|Powerline Area|Two Trees area,Connecticut,https://www.mountainproject.com/area/114499835/two-trees-area,"[-72.57546, 41.50827]"
Wires Area,CT Bouldering|Seven Falls Bouldering|Powerline Area|Wires Area,Connecticut,https://www.mountainproject.com/area/114521241/wires-area,"[-72.57567, 41.50843]"
Amp Wall,CT Bouldering|Seven Falls Bouldering|Powerline Area|Amp Wall,Connecticut,https://www.mountainproject.com/area/114500168/amp-wall,"[-72.57568, 41.50835]"
Bible Rock,CT Bouldering|Seven Falls Bouldering|Bible Rock Area|Bible Rock,Connecticut,https://www.mountainproject.com/area/106077554/bible-rock,"[-72.58617, 41.50704]"
Roadside Boulder In The Cut,CT Bouldering|Westwoods (Cockaponset State Forest)|Roadside Boulder In The Cut,Connecticut,https://www.mountainproject.com/area/114203187/roadside-boulder-in-the-cut,"[-72.71529, 41.2951]"
Super Shorty boulder,CT Bouldering|Shenipsit State Forest|Parker Road|Super Shorty boulder,Connecticut,https://www.mountainproject.com/area/120429912/super-shorty-boulder,"[-72.43071, 41.95535]"
Prom Boulder,CT Bouldering|Shenipsit State Forest|Parker Road|Prom Boulder,Connecticut,https://www.mountainproject.com/area/116212133/prom-boulder,"[-72.4308, 41.95562]"
Top of the White Trail,CT Bouldering|Sleeping Giant|Between the Chin and Chest|Top of the White Trail,Connecticut,https://www.mountainproject.com/area/111789694/top-of-the-white-trail,"[-72.89626, 41.42665]"
Wiessner's Spleen,CT Bouldering|Sleeping Giant|Between the Chin and Chest|Wiessner's Spleen,Connecticut,https://www.mountainproject.com/area/112343210/wiessners-spleen,"[-72.89854, 41.42642]"
Tip Top of the White Trail,CT Bouldering|Sleeping Giant|Between the Chin and Chest|Tip Top of the White Trail,Connecticut,https://www.mountainproject.com/area/112352320/tip-top-of-the-white-trail,"[-72.90252, 41.42399]"
"Right Shoulder, The","CT Bouldering|Sleeping Giant|Between the Chin and Chest|Right Shoulder, The",Connecticut,https://www.mountainproject.com/area/112352461/the-right-shoulder,"[-72.89817, 41.42557]"
"Neck, The","CT Bouldering|Sleeping Giant|Between the Chin and Chest|Neck, The",Connecticut,https://www.mountainproject.com/area/112341840/the-neck,"[-72.89809, 41.42578]"
"Crossroads, The","CT Bouldering|Sleeping Giant|Between the Chin and Chest|Crossroads, The",Connecticut,https://www.mountainproject.com/area/111789680/the-crossroads,"[-72.89299, 41.42954]"
Bench Area,CT Bouldering|Sleeping Giant|Between the Chin and Chest|Bench Area,Connecticut,https://www.mountainproject.com/area/112390312/bench-area,"[-72.90252, 41.42399]"
Upper Twin Boulder,CT Bouldering|Stateline|Trailside Area|Upper Twin Boulder,Connecticut,https://www.mountainproject.com/area/107647297/upper-twin-boulder,"[-73.5134, 41.6816]"
Rain Days Boulder,CT Bouldering|Stateline|Logging Road|Rain Days Boulder,Connecticut,https://www.mountainproject.com/area/107647279/rain-days-boulder,"[-73.5134, 41.6816]"
Great White Boulder,CT Bouldering|Stateline|Logging Road|Great White Boulder,Connecticut,https://www.mountainproject.com/area/107647275/great-white-boulder,"[-73.5134, 41.6816]"
Lower Twin Boulder,CT Bouldering|Stateline|Trailside Area|Lower Twin Boulder,Connecticut,https://www.mountainproject.com/area/107647294/lower-twin-boulder,"[-73.5134, 41.6816]"
"Waters of Lake Minnetonka, The","CT Bouldering|West Rock State Park|God's Country|Waters of Lake Minnetonka, The",Connecticut,https://www.mountainproject.com/area/111521982/the-waters-of-lake-minnetonka,"[-72.97502, 41.36446]"
Veranda,CT Bouldering|West Rock State Park|God's Country|Veranda,Connecticut,https://www.mountainproject.com/area/114376782/veranda,"[-72.97595, 41.363]"
Tibbs Area,CT Bouldering|West Rock State Park|God's Country|Tibbs Area,Connecticut,https://www.mountainproject.com/area/111521614/tibbs-area,"[-72.97597, 41.36263]"
Patience Boulder,CT Bouldering|West Rock State Park|God's Country|Patience Boulder,Connecticut,https://www.mountainproject.com/area/111521566/patience-boulder,"[-72.9765, 41.36386]"
Mamma Major,CT Bouldering|West Rock State Park|God's Country|Mamma Major,Connecticut,https://www.mountainproject.com/area/114375535/mamma-major,"[-72.97474, 41.36534]"
Loner,CT Bouldering|West Rock State Park|God's Country|Loner,Connecticut,https://www.mountainproject.com/area/114376599/loner,"[-72.97521, 41.36755]"
Life is Percarious,CT Bouldering|West Rock State Park|God's Country|Life is Percarious,Connecticut,https://www.mountainproject.com/area/114375697/life-is-percarious,"[-72.97612, 41.36306]"
Kyle's Slabs,CT Bouldering|West Rock State Park|God's Country|Kyle's Slabs,Connecticut,https://www.mountainproject.com/area/114375729/kyles-slabs,"[-72.97454, 41.36603]"
Impatience,CT Bouldering|West Rock State Park|God's Country|Impatience,Connecticut,https://www.mountainproject.com/area/116149964/impatience,"[-72.97596, 41.36281]"
Book Shelf Slab,CT Bouldering|West Rock State Park|God's Country|Book Shelf Slab,Connecticut,https://www.mountainproject.com/area/114375658/book-shelf-slab,"[-72.97449, 41.36573]"
A Midsummer Nightsession,CT Bouldering|West Rock State Park|God's Country|A Midsummer Nightsession,Connecticut,https://www.mountainproject.com/area/111529176/a-midsummer-nightsession,"[-72.9758, 41.36333]"
